Код;Группа образовательных программ;Необходимый уровень образования
D001;Педагогика и психология;Магистратура научного/профильного направления
D010;Подготовка педагогов математики;Магистратура научного/профильного направления
D013;Подготовка педагогов химии;Магистратура научного/профильного направления
D014;Подготовка педагогов биологии;Магистратура научного/профильного направления
D060;Филология;Магистратура научного/профильного направления
D070;Экономика;Магистратура научного/профильного направления
D072;Менеджмент;Магистратура научного/профильного направления
D074;Финансы, банковское и страховое дело;Магистратура научного/профильного направления
D080;Биология;Магистратура научного/профильного направления
D094;Информационные технологии;Магистратура научного/профильного направления
D131;Растениеводство;Магистратура научного/профильного направления
D132;Животноводство;Магистратура научного/профильного направления
D138;Ветеринария;Магистратура научного/профильного направления
