Направление;Код;Группа образовательных программ;Профильные предметы комплексного тестирования;Проходной балл
Научно-педагогическое (2 года);М001;Педагогика и психология;Педагогика, Психология;75
Научно-педагогическое (2 года);М010;Подготовка педагогов математики;Математика, Методика преподавания математики;75
Научно-педагогическое (2 года);М011;Подготовка педагогов физики;Общая физика, Методика преподавания физики;75
Научно-педагогическое (2 года);М012;Подготовка педагогов информатики;Программирование, Методика преподавания информатики;75
Научно-педагогическое (2 года);М013;Подготовка педагогов химии;Химия, Методика преподавания химии;75
Научно-педагогическое (2 года);М014;Подготовка педагогов биологии;Биология, Методика преподавания биологии;75
Научно-педагогическое (2 года);М015;Подготовка педагогов географии;География, Методика преподавания географии;75
Научно-педагогическое (2 года);М016;Подготовка педагогов истории;История Казахстана, Методика преподавания истории;75
Научно-педагогическое (2 года);М053;История и археология;Древняя средневековая история Казахстана, Основы археологии;75
Научно-педагогическое (2 года);М056;Переводческое дело, синхронный перевод (английский);Теория перевода, Профессионально-ориентированный иностранный язык (английский);75
Научно-педагогическое (2 года);М059;Иностранная филология (английский);Основы теории изучаемого языка, Профессионально-ориентированный иностранный язык;75
Научно-педагогическое (2 года);М060;Филология (казахская);Современный казахский язык, Современная казахская литература;75
Научно-педагогическое (2 года);М060;Филология (русская);Морфология современного русского языка, История русской литературы I половины XIX века;75
Научно-педагогическое (2 года);М059;Иностранная филология;Основы теории изучаемого языка, Профессионально-ориентированный иностранный язык;75
Научно-педагогическое (2 года);М067;Журналистика и репортерское дело;История казахской журналистики, Жанровые формы и функции современной журналистики;75
Научно-педагогическое (2 года);М070;Экономика;Экономика предприятия, Макроэкономика;75
Научно-педагогическое (2 года);М071;Государственное и местное управление;Теория государственного управления, Государственное регулирование экономики;75
Научно-педагогическое (2 года);М072;Менеджмент;Менеджмент, Организация бизнеса;75
Научно-педагогическое (2 года);М073;Аудит и налогообложение;Основы бухгалтерского учета, Аудит;75
Научно-педагогическое (2 года);М074;Финансы, банковское и страховое дело;Основы финансов, Корпоративные финансы;75
Научно-педагогическое (2 года);М075;Маркетинг и реклама;Маркетинг, Маркетинговые исследования;75
Научно-педагогическое (2 года);М078;Право;Теория государства и права, Ситуативный кейс;75
Научно-педагогическое (2 года);М080;Биология;Биология клетки, Ботаника;75
Научно-педагогическое (2 года);М087;Технология охраны окружающей среды;Геоэкология, Экологический мониторинг;75
Научно-педагогическое (2 года);М089;Химия;Физическая химия, Аналитическая химия;75
Научно-педагогическое (2 года);М090;Физика;Механика, Молекулярная физика;75
Научно-педагогическое (2 года);М092;Математика и статистика;Математический анализ, Дифференциальные уравнения;75
Научно-педагогическое (2 года);М094;Информационные технологии;Алгоритмы и структуры данных, Базы данных;75
Научно-педагогическое (2 года);М099;Энергетика и электротехника;Теоретические основы электротехники, Электрические машины;75
Научно-педагогическое (2 года);М103;Механика и металлообработка;Основы взаимозаменяемости, Детали машин;75
Научно-педагогическое (2 года);М104;Транспорт, транспортная техника и технологии;Основы технической эксплуатации транспортной техники, Энергетические установки транспортной техники;75
Научно-педагогическое (2 года);М131;Растениеводство;Растениеводство, Почвоведение;75
Научно-педагогическое (2 года);М132;Животноводство;Кормление сельскохозяйственных животных, Технология производства продукции животноводства;75
Научно-педагогическое (2 года);М136;Аграрная техника и технологии;Сельскохозяйственная техника, Машины механизации и автоматизации животноводства;75
Научно-педагогическое (2 года);М138;Ветеринария;Патология животных, Эпизоотология и инфекционные болезни животных;75
Профильное (1 год);М001;Педагогика и психология;Педагогика, Психология;50
Профильное (1 год);М078;Право;Теория государства и права, Ситуативный кейс;50
